Period,AGR,MIN,MFG,UTL,CON,TRD,HOS,TRN,ICT,FIN,PUB,EDH,REA,OTS
1980-Q1,7838,2645,14610,1725,5515,13900,2426,1831,475,1903,5487,4297,6928,1581
1980-Q2,8596,2699,14204,1252,5429,11883,2464,1935,499,1891,5596,4424,6820,1569
1980-Q3,8323,2800,13718,846,5786,10386,2498,1889,520,1878,5706,4545,7268,1562
1980-Q4,8703,2769,13538,507,5680,9821,2573,1714,538,1865,5817,4660,7136,1558
1981-Q1,6716,2856,14092,1412,5773,10688,2498,1735,555,1851,5930,4769,6859,1557
1981-Q2,5174,2937,14018,1195,6072,10850,2505,1927,565,1837,6045,4873,7215,1560
1981-Q3,6915,2796,14062,1046,6086,11303,2490,1927,572,1822,6161,4971,7231,1566
1981-Q4,5690,2716,14514,978,6237,12229,2567,2015,576,1807,6278,5063,7410,1575
1982-Q1,7872,2550,14077,1181,5868,11654,2668,2148,560,1760,6424,5114,7087,1589
1982-Q2,8972,2488,14681,1216,6223,12427,2683,2033,563,1756,6534,5208,7517,1605
1982-Q3,8193,2544,14582,1265,6252,11975,2709,1963,569,1764,6635,5311,7552,1624
1982-Q4,9126,2577,14806,1301,6227,11689,2755,1931,577,1783,6726,5421,7522,1645
1983-Q1,7526,2634,14831,1295,5934,11785,2790,2006,592,1816,6772,5603,8348,1681
1983-Q2,6944,2595,14840,1317,5750,11305,2825,2229,603,1859,6859,5704,8089,1703
1983-Q3,7896,2834,15407,1313,5468,11830,2867,2068,615,1913,6952,5788,7692,1724
1983-Q4,7216,2857,14903,1336,5210,11342,2924,2238,628,1979,7051,5854,7329,1743
1984-Q1,8304,3254,15510,1450,4956,12090,2982,2356,637,2106,7175,5853,8232,1770
1984-Q2,7566,3218,15585,1400,4688,12423,3019,1955,653,2174,7276,5904,7788,1781
1984-Q3,8634,3155,15481,1384,5154,12305,3092,2211,672,2233,7373,5958,8561,1787
1984-Q4,7989,3114,16195,1385,5086,12936,3134,2158,692,2284,7468,6015,8449,1787
1985-Q1,8977,3131,15728,1417,5648,12566,3143,2224,690,2310,7525,6078,8986,1752
1985-Q2,9222,3171,16135,1460,5352,12733,3194,2260,704,2348,7628,6139,8516,1753
1985-Q3,9268,3257,16472,1492,4827,12973,3304,2311,710,2384,7742,6200,7680,1760
1985-Q4,9389,3054,16652,1571,4964,13270,3343,2083,708,2417,7868,6263,7899,1774
1986-Q1,11224,2866,15850,1440,5557,12489,3188,2138,668,2420,8070,6330,9072,1814
1986-Q2,13468,2964,16422,1519,5263,13420,3257,1969,663,2458,8192,6394,8592,1833
1986-Q3,11479,3016,16641,1620,5137,13768,3366,2615,662,2503,8298,6458,8386,1851
1986-Q4,13290,2804,16485,1646,4921,13560,3435,2289,665,2557,8390,6522,8034,1867
1987-Q1,10266,2767,16723,1604,4376,13610,3550,2161,686,2627,8370,6557,7780,1874
1987-Q2,8451,2750,16688,1565,4755,13330,3614,2335,693,2693,8470,6633,8453,1892
1987-Q3,10406,2650,16621,1794,5187,12990,3292,2347,698,2762,8593,6721,9222,1913
1987-Q4,8697,2823,16901,1689,5620,13094,3318,2576,703,2835,8740,6821,9991,1936
1988-Q1,11938,3352,17992,1734,4988,13841,3737,2298,667,2951,9061,6973,8390,1980
1988-Q2,13389,3631,17967,1783,5751,13790,3401,2559,685,3017,9194,7081,9673,2001
1988-Q3,12047,3462,18122,1761,5748,14143,3530,2436,718,3073,9291,7185,9667,2017
1988-Q4,13090,3323,18000,1828,5853,14351,3656,2553,765,3117,9351,7285,9844,2028
1989-Q1,13977,2242,17806,1845,5416,14310,4757,2686,812,3079,9305,7432,8847,2015
1989-Q2,13129,1988,16940,1875,6052,13416,4393,2502,864,3130,9319,7504,9885,2024
1989-Q3,13774,2047,18174,1918,6311,14781,4369,2410,912,3199,9323,7552,10308,2036
1989-Q4,12796,2265,18612,1951,6319,14852,4387,2445,956,3285,9318,7576,10322,2050
1990-Q1,12786,2661,18506,1949,5922,15033,4603,2494,971,3442,9170,7446,9792,2071
1990-Q2,12567,2568,19138,2016,6085,15128,4687,2601,1005,3543,9199,7474,10063,2089
1990-Q3,12441,2798,19105,2063,6382,14441,4424,2741,1036,3640,9273,7530,10553,2107
1990-Q4,12305,2575,19201,2022,6368,14505,4193,2702,1064,3733,9391,7615,10529,2126
1991-Q1,14074,2070,19021,2141,5823,14501,3271,2612,1026,3808,9710,7831,10692,2147
1991-Q2,17053,2457,19429,2182,5804,15386,3355,2631,1053,3900,9853,7930,10657,2166
